TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,B-,30,2,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,C,30,1,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,C-,30,1,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,F,30,1,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,S,30,1,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,W,30,1,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,A,17,5,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,A-,17,2,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,B,17,1,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,B+,17,3,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,C,17,1,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,C+,17,1,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,F,17,2,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,S,17,1,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,APEC,1201,1,LAB,Excel in Economics and Mgmnt,W,17,1,PI,"Durfee,Thomas J Graham",,,
1235,Sum 2023,UMNTC,UMNTC,ARAB,1001,1,LEC,Survival Arabic,A,11,7,PI,"Sumner,Emily Joelle",,,
1235,Sum 2023,UMNTC,UMNTC,ARAB,1001,1,LEC,Survival Arabic,A-,11,1,PI,"Sumner,Emily Joelle",,,
1235,Sum 2023,UMNTC,UMNTC,ARAB,1001,1,LEC,Survival Arabic,B+,11,1,PI,"Sumner,Emily Joelle",,,
1235,Sum 2023,UMNTC,UMNTC,ARAB,1001,1,LEC,Survival Arabic,C,11,1,PI,"Sumner,Emily Joelle",,,
1235,Sum 2023,UMNTC,UMNTC,ARAB,1001,1,LEC,Survival Arabic,S,11,1,PI,"Sumner,Emily Joelle",,,
1235,Sum 2023,UMNTC,UMNTC,ARTH,1921W,1,LEC,Intro to Film Study,A,13,7,PI,"Meehleder,Amy Folkedahl",,,
1235,Sum 2023,UMNTC,UMNTC,ARTH,1921W,1,LEC,Intro to Film Study,A-,13,6,PI,"Meehleder,Amy Folkedahl",,,
1235,Sum 2023,UMNTC,UMNTC,ARTS,1002,1,LEC,Art and Life,A,11,10,PI,"Janzen,Hawona Sullivan Sullivan",,,
1235,Sum 2023,UMNTC,UMNTC,ARTS,1002,1,LEC,Art and Life,F,11,1,PI,"Janzen,Hawona Sullivan Sullivan",,,
1235,Sum 2023,UMNTC,UMNTC,ARTS,1801,1,LAB,Introduction to Ceramics,A,13,7,PI,"Roth,Kimberlee Joy",Art Research Studio Technician,LR,roth0292
1235,Sum 2023,UMNTC,UMNTC,ARTS,1801,1,LAB,Introduction to Ceramics,A-,13,4,PI,"Roth,Kimberlee Joy",Art Research Studio Technician,LR,roth0292
1235,Sum 2023,UMNTC,UMNTC,ARTS,1801,1,LAB,Introduction to Ceramics,B+,13,1,PI,"Roth,Kimberlee Joy",Art Research Studio Technician,LR,roth0292
1235,Sum 2023,UMNTC,UMNTC,ARTS,1801,1,LAB,Introduction to Ceramics,S,13,1,PI,"Roth,Kimberlee Joy",Art Research Studio Technician,LR,roth0292
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,A,25,2,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,A-,25,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,B,25,1,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,B+,25,4,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,B-,25,2,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,C,25,1,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,C+,25,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,C-,25,2,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,D,25,1,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,F,25,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,101,DIS,ASL I,S,25,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,A-,17,1,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,B,17,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,B+,17,1,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,B-,17,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,C,17,2,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,C+,17,3,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
1235,Sum 2023,UMNTC,UMNTC,ASL,1701,102,DIS,ASL I,C-,17,1,PI,"Penny,Jonathan Charles",Education Program Spec 1,AP,jcpenny
