TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B-,2,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,D+,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,F,4,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,S,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A,17,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A-,7,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B+,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B-,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,F,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,N,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,S,4,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,W,2,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,A,51,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,A-,2,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,B,5,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,B+,1,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,B-,1,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,C,1,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,C-,2,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,F,2,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,W,2,Jeannine Kessler,kessler,ABUS 3053
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,A,17,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,A-,4,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B,5,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B+,1,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B-,4,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C,1,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C-,1,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,F,1,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,W,2,David Husom,husom001,ABUS 3201
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,A,17,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,A-,5,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B+,5,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B-,2,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C,2,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C-,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,D,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,W,3,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,A,5,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,A-,8,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B,5,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B+,3,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B-,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C,2,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C+,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C-,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,D,4,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,D+,3,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,F,1,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,W,2,Karen Schaffhausen,lutt0002,ABUS 3301
1259,UMNTC,UMNTC,ABUS,3301,303,Intro to Quality Management,A,14,Alex Hooper,hoope154,ABUS 3301
