TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,C,71,5,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,C+,71,6,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,C-,71,6,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,D,71,3,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,F,71,4,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,W,71,8,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,A,28,16,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,A-,28,1,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,B,28,3,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,B+,28,2,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,B-,28,2,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,C,28,1,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2101,E90,LEC,Principles of Accounting I,W,28,3,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,A,24,7,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,A-,24,4,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,B,24,1,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,B+,24,4,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,B-,24,2,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,C+,24,4,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNCR,UMNCR,ACCT,2102,E90,LEC,Principles of Accounting II,D+,24,2,PI,"Menze,Grace",Lecturer,AP,gmenze
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,A,74,18,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,A-,74,16,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,B,74,13,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,B+,74,10,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,B-,74,7,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,C,74,3,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,C+,74,4,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,C-,74,2,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNTC,UMNTC,ACCT,3001,020,LEC,Strategic Mgmt Acct,D,74,1,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
Sum 2024,UMNCR,UMNCR,ACCT,3202,E90,LEC,Intermediate Accounting II,A,11,3,PI,"Saeedi,Ali",Associate Professor,FA,asaeediv
Sum 2024,UMNCR,UMNCR,ACCT,3202,E90,LEC,Intermediate Accounting II,B,11,3,PI,"Saeedi,Ali",Associate Professor,FA,asaeediv
Sum 2024,UMNCR,UMNCR,ACCT,3202,E90,LEC,Intermediate Accounting II,B+,11,1,PI,"Saeedi,Ali",Associate Professor,FA,asaeediv
Sum 2024,UMNCR,UMNCR,ACCT,3202,E90,LEC,Intermediate Accounting II,B-,11,3,PI,"Saeedi,Ali",Associate Professor,FA,asaeediv
Sum 2024,UMNCR,UMNCR,ACCT,3202,E90,LEC,Intermediate Accounting II,C-,11,1,PI,"Saeedi,Ali",Associate Professor,FA,asaeediv
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,A,23,6,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,A-,23,3,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,B,23,1,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,B+,23,4,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,B-,23,1,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,C,23,1,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,D,23,1,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNCR,UMNCR,ACCT,3220,E90,LEC,Accounting Systems,F,23,6,PI,"Bowen,Kara",Lecturer,AP,klbowen
Sum 2024,UMNDL,UMNDL,ACCT,3301,001,LEC,Accounting Information Systems,A,18,7,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,3301,001,LEC,Accounting Information Systems,A-,18,3,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,3301,001,LEC,Accounting Information Systems,B+,18,1,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,3301,001,LEC,Accounting Information Systems,B-,18,2,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,3301,001,LEC,Accounting Information Systems,D+,18,1,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,3301,001,LEC,Accounting Information Systems,F,18,4,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,3797,001,FWK,Internship in Accounting,A,13,11,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,AP,mkitson
Sum 2024,UMNDL,UMNDL,ACCT,3797,001,FWK,Internship in Accounting,A-,13,2,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,AP,mkitson
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,A,40,11,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,A-,40,6,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,B,40,6,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,B+,40,3,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,B-,40,4,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,C,40,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,C+,40,5,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,C-,40,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,F,40,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ACCT,5101,020,LEC,Intermediate Accounting I,W,40,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
Sum 2024,UMNTC,UMNTC,ADDS,5091,001,LEC,Assessment & Treatment Plan I,A,15,12,PI,"Kammer,Roy",Lecturer,AP,rkammer
Sum 2024,UMNTC,UMNTC,ADDS,5091,001,LEC,Assessment & Treatment Plan I,B+,15,2,PI,"Kammer,Roy",Lecturer,AP,rkammer
Sum 2024,UMNTC,UMNTC,ADDS,5091,001,LEC,Assessment & Treatment Plan I,C,15,1,PI,"Kammer,Roy",Lecturer,AP,rkammer
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,A,13,4,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,A-,13,1,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,B,13,2,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,B+,13,3,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,B-,13,1,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,F,13,1,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNTC,UMNTC,AFRO,3601W,001,DIS,African Literature,W,13,1,PI,"Githire,Njeri",Associate Professor,FA,ngithire
Sum 2024,UMNCR,UMNCR,AGEC,2310,E90,LAB,Agribusiness Financial Records,A,15,5,PI,"Lariviere,Charles Raymond",Instructor,FA,clarivie
Sum 2024,UMNCR,UMNCR,AGEC,2310,E90,LAB,Agribusiness Financial Records,B,15,2,PI,"Lariviere,Charles Raymond",Instructor,FA,clarivie
Sum 2024,UMNCR,UMNCR,AGEC,2310,E90,LAB,Agribusiness Financial Records,B+,15,1,PI,"Lariviere,Charles Raymond",Instructor,FA,clarivie
Sum 2024,UMNCR,UMNCR,AGEC,2310,E90,LAB,Agribusiness Financial Records,B-,15,3,PI,"Lariviere,Charles Raymond",Instructor,FA,clarivie
Sum 2024,UMNCR,UMNCR,AGEC,2310,E90,LAB,Agribusiness Financial Records,F,15,2,PI,"Lariviere,Charles Raymond",Instructor,FA,clarivie
Sum 2024,UMNCR,UMNCR,AGEC,2310,E90,LAB,Agribusiness Financial Records,W,15,2,PI,"Lariviere,Charles Raymond",Instructor,FA,clarivie
Sum 2024,UMNTC,UMNTC,AMES,3672,001,LEC,Buddhism,A,30,22,PI,"Rouzer,Morgan",Professor,FA,prouzer
Sum 2024,UMNTC,UMNTC,AMES,3672,001,LEC,Buddhism,A-,30,2,PI,"Rouzer,Morgan",Professor,FA,prouzer
Sum 2024,UMNTC,UMNTC,AMES,3672,001,LEC,Buddhism,C+,30,1,PI,"Rouzer,Morgan",Professor,FA,prouzer
Sum 2024,UMNTC,UMNTC,AMES,3672,001,LEC,Buddhism,D,30,1,PI,"Rouzer,Morgan",Professor,FA,prouzer
Sum 2024,UMNTC,UMNTC,AMES,3672,001,LEC,Buddhism,F,30,1,PI,"Rouzer,Morgan",Professor,FA,prouzer
