TERM,TERM_DESCR,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,B+,3,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,B-,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,C-,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,F,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,A,14,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,A-,5,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,B,3,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,B+,2,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,B-,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,C-,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,F,1,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,W,2,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,A,10,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,A-,2,Bradley Goodell,bgoodell,ABUS 4022W
