TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,NAME,JOBCODE_DESCR,INTERNET_ID
1255,Sum 2025,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,B+,24,3,PI,"Brannan PhD,Rodger L",Associate Professor,rbrannan
1255,Sum 2025,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,C,24,1,PI,"Brannan PhD,Rodger L",Associate Professor,rbrannan
1255,Sum 2025,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,W,24,4,PI,"Brannan PhD,Rodger L",Associate Professor,rbrannan
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,A,50,24,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,A-,50,10,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,B,50,4,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,B+,50,2,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,B-,50,2,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,C,50,1,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,C+,50,2,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,C-,50,1,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,D,50,1,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,F,50,1,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,W,50,2,PI,"Erickson,Loren L",Instructor,lerickso
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,A,80,27,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,A-,80,11,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,B,80,9,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,B+,80,3,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,B-,80,6,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,C,80,4,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,C+,80,5,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,D,80,2,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,F,80,6,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,W,80,7,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,A,28,7,PI,"Menze,Grace",Lecturer,gmenze
1255,Sum 2025,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,A-,28,3,PI,"Menze,Grace",Lecturer,gmenze
