TERM,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1235,UMNTC,AMES,3356W,001,Chinese Film,A,5,Chuanhui Meng,,AMES 3356W
1235,UMNTC,AMES,3356W,001,Chinese Film,A-,1,Chuanhui Meng,,AMES 3356W
1235,UMNTC,AMES,3356W,001,Chinese Film,B,1,Chuanhui Meng,,AMES 3356W
1235,UMNTC,AMES,3356W,001,Chinese Film,B+,2,Chuanhui Meng,,AMES 3356W
1235,UMNTC,AMES,3356W,001,Chinese Film,B-,2,Chuanhui Meng,,AMES 3356W
1235,UMNTC,AMES,3672,001,Buddhism,A,27,Paul Rouzer,prouzer,AMES 3672
1235,UMNTC,AMES,3672,001,Buddhism,A-,3,Paul Rouzer,prouzer,AMES 3672
1235,UMNTC,AMES,3672,001,Buddhism,B+,1,Paul Rouzer,prouzer,AMES 3672
1235,UMNTC,AMES,3672,001,Buddhism,B-,2,Paul Rouzer,prouzer,AMES 3672
1235,UMNTC,AMES,3672,001,Buddhism,F,1,Paul Rouzer,prouzer,AMES 3672
1235,UMNTC,AMES,3672,001,Buddhism,S,2,Paul Rouzer,prouzer,AMES 3672
1235,UMNTC,AMIN,1003,001,American Indians in MN,A,12,Alex Ghebregzi,gheb0002,AMIN 1003
1235,UMNTC,AMIN,1003,001,American Indians in MN,A-,8,Alex Ghebregzi,gheb0002,AMIN 1003
1235,UMNTC,AMIN,1003,001,American Indians in MN,B,3,Alex Ghebregzi,gheb0002,AMIN 1003
1235,UMNTC,AMIN,1003,001,American Indians in MN,B+,4,Alex Ghebregzi,gheb0002,AMIN 1003
1235,UMNTC,AMIN,1003,001,American Indians in MN,B-,2,Alex Ghebregzi,gheb0002,AMIN 1003
1235,UMNTC,AMIN,1003,001,American Indians in MN,W,3,Alex Ghebregzi,gheb0002,AMIN 1003
1235,UMNTC,AMIN,3304,001,Indigenous Filmmakers,A,14,Vicente Diaz,vmdiaz,AMIN 3304
1235,UMNTC,AMIN,3304,001,Indigenous Filmmakers,B+,1,Vicente Diaz,vmdiaz,AMIN 3304
1235,UMNTC,AMIN,3304,001,Indigenous Filmmakers,B-,1,Vicente Diaz,vmdiaz,AMIN 3304
1235,UMNTC,AMIN,3304,001,Indigenous Filmmakers,C+,4,Vicente Diaz,vmdiaz,AMIN 3304
1235,UMNTC,AMIN,3304,001,Indigenous Filmmakers,F,2,Vicente Diaz,vmdiaz,AMIN 3304
1235,UMNTC,AMIN,3304,001,Indigenous Filmmakers,S,1,Vicente Diaz,vmdiaz,AMIN 3304
1235,UMNTC,AMST,2011,001,U. S. since September 11th,A,38,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2011,001,U. S. since September 11th,A-,6,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2011,001,U. S. since September 11th,B,5,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2011,001,U. S. since September 11th,B+,4,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2011,001,U. S. since September 11th,F,1,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2011,001,U. S. since September 11th,S,4,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2011,001,U. S. since September 11th,W,1,David Karjanen,karjanen,AMST 2011
1235,UMNTC,AMST,2031,001,Chasing the American Dream,A,19,David Karjanen,karjanen,AMST 2031
