CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,ABUS,4023W,301,Communicating for Results,A,15,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,A-,3,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,B,4,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,B+,4,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,B-,2,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,C,1,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,W,2,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,A,11,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,A-,4,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,B,3,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,B+,3,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,B-,1,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,C,2,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,C+,4,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,302,Communicating for Results,F,2,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,A,14,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,A-,3,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,B,2,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,B+,3,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,B-,2,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,C,1,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,F,1,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4023W,303,Communicating for Results,W,6,Bradley Goodell,bgoodell,1243,ABUS 4023W
UMNTC,ABUS,4041,301,Dynamics of Leadership,A,7,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,A-,3,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,B,5,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,B+,3,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,B-,4,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,C,2,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,C+,3,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,C-,1,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,F,1,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4041,301,Dynamics of Leadership,W,4,David Kaiser,kaise178,1243,ABUS 4041
UMNTC,ABUS,4043,301,Project Management in Practice,A,13,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,A-,4,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,B,1,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,B+,2,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,B-,2,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,C,2,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,C+,2,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4043,301,Project Management in Practice,F,2,William Bengtson,bengt169,1243,ABUS 4043
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,A,20,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,A-,12,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,B,8,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,B+,8,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,B-,4,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,C,5,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,C+,4,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,C-,1,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,F,4,Stacy O'Fallon,sofallon,1243,ABUS 4101
UMNTC,ABUS,4104,301,Management and Human Resource,A,11,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,A-,6,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,B,4,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,B+,2,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,C+,1,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,C-,2,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,D+,1,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,301,Management and Human Resource,F,1,Steve Comingdeer,comin002,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,A,8,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,A-,8,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,B,7,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,B+,7,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,B-,2,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,C+,2,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4104,302,Management and Human Resource,F,1,Julie Tschida,jtschida,1243,ABUS 4104
UMNTC,ABUS,4105,301,Authentic Business Leadership,A,25,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,A-,5,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,B+,3,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,C+,1,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,F,1,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,A,19,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,A-,6,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,B,2,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,B+,3,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,C+,3,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,D+,2,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4105,302,Authentic Business Leadership,F,4,Carol Klempka,cklempka,1243,ABUS 4105
UMNTC,ABUS,4106,301,Scandals vs. Best Practices,A,18,Carol Rinkoff,crinkoff,1243,ABUS 4106
UMNTC,ABUS,4106,301,Scandals vs. Best Practices,A-,2,Carol Rinkoff,crinkoff,1243,ABUS 4106
UMNTC,ABUS,4106,301,Scandals vs. Best Practices,B,2,Carol Rinkoff,crinkoff,1243,ABUS 4106
UMNTC,ABUS,4106,301,Scandals vs. Best Practices,B+,1,Carol Rinkoff,crinkoff,1243,ABUS 4106
