INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B,1,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B+,3,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,F,2,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,W,4,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,A,18,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,A-,4,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B,3,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B+,2,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,B-,1,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C,1,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,C+,1,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,F,3,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,301,Digital Design-Small Business,W,1,David Husom,husom001,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,A,12,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,A-,3,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,B,6,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,B+,3,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,C,1,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,C-,2,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,D+,1,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,F,2,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3201,302,Digital Design-Small Business,W,5,Jeff Neidt,neidt004,1253,ABUS 3201
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,A,21,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,A-,2,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B,5,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B+,3,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,B-,3,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C,1,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,C-,1,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,D,1,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,F,1,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,301,Intro to Quality Management,W,2,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,A,19,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,A-,3,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B,7,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,B+,2,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C,3,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,C+,1,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,F,1,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,3301,302,Intro to Quality Management,W,3,Karen Schaffhausen,lutt0002,1253,ABUS 3301
UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A,28,Charles Bethel,bethe036,1253,ABUS 4013W
UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A-,1,Charles Bethel,bethe036,1253,ABUS 4013W
UMNTC,UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B+,1,Charles Bethel,bethe036,1253,ABUS 4013W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,A,8,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,A-,9,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,B,3,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,B+,2,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,B-,3,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,C,2,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,C-,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,F,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,301,Management in Organizations,W,2,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,A,11,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,A-,8,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,B,4,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,B+,3,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,B-,2,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,C-,2,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,302,Management in Organizations,F,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,A,14,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,A-,7,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,B,3,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,B-,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,C,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,C+,2,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,C-,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,D,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,303,Management in Organizations,F,1,Bradley Goodell,bgoodell,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,304,Management in Organizations,A,24,Uriah Giordana,ugiordan,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,304,Management in Organizations,A-,4,Uriah Giordana,ugiordan,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,304,Management in Organizations,B+,1,Uriah Giordana,ugiordan,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4022W,304,Management in Organizations,F,2,Uriah Giordana,ugiordan,1253,ABUS 4022W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,A,14,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,A-,4,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,B,4,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,B+,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,B-,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,C+,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,C-,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,D,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,301,Communicating for Results,W,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,A,9,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,A-,4,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,B,4,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,B+,3,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,B-,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,C,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,C+,3,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,C-,2,Bradley Goodell,bgoodell,1253,ABUS 4023W
UMNTC,UMNTC,ABUS,4023W,302,Communicating for Results,D,1,Bradley Goodell,bgoodell,1253,ABUS 4023W
