TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,B+,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C,3,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C+,2,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,D+,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,F,4,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,A,18,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,A-,3,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B+,5,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,C+,2,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,D+,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,F,2,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,A,13,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,A-,3,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B,5,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B+,6,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B-,2,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,C,1,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,C+,2,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,F,5,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,W,1,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A,19,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A-,5,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B+,2,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B-,1,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,C,2,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,W,1,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A,23,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B,1,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B+,4,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B-,2,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,F,1,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,S,3,Uriah Giordana,ugiordan,ABUS 3052
1263,UMNTC,UMNTC,ABUS,3053,301,Planning Your Financial Future,A,26,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,301,Planning Your Financial Future,A-,3,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,301,Planning Your Financial Future,B-,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,301,Planning Your Financial Future,C,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,301,Planning Your Financial Future,D,1,Jeannine Kessler,kessler,ABUS 3053
1263,UMNTC,UMNTC,ABUS,3053,302,Planning Your Financial Future,A,29,Jeannine Kessler,kessler,ABUS 3053
