DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
5.0,5.0,2.0,4.0,3.0,1.0,4.0,1,ACL 5221
4.75,4.88,5.13,5.0,5.5,5.38,5.13,8,ACL 5231
5.57,5.71,5.43,5.57,5.57,5.71,5.71,7,ACL 5240
4.5,5.0,3.5,4.0,3.75,4.5,4.5,4,ACL 5251
4.5,5.0,3.0,5.0,5.5,4.5,4.5,2,ACL 5251
5.2,5.2,4.6,5.2,4.4,4.4,5.2,5,ACL 5261
4.25,3.0,4.0,3.5,4.75,4.25,3.0,4,ACL 6001
5.25,5.13,5.14,5.5,5.5,5.13,5.13,8,ACL 8201
5.5,4.5,3.5,5.0,2.5,5.0,5.0,2,ACL 8202
5.69,5.54,5.46,5.38,5.08,5.31,5.54,13,ADDS 5011
5.29,5.43,5.0,4.43,4.29,4.57,5.0,7,ADDS 5011
5.07,4.93,4.6,4.33,4.13,4.53,4.47,15,ADDS 5011
4.78,4.44,5.38,4.25,4.0,4.67,4.44,9,ADDS 5011
4.86,4.5,4.38,5.25,4.0,3.88,3.75,8,ADDS 5021
4.0,5.0,6.0,3.0,1.0,1.0,1.0,1,ADDS 5021
5.46,5.23,5.0,5.38,5.08,4.85,5.31,13,ADDS 5021
5.71,5.29,5.33,4.71,4.5,4.57,4.86,7,ADDS 5021
5.0,4.82,5.45,5.18,5.27,5.73,5.3,11,ADDS 5031
5.73,5.82,5.55,5.55,5.91,5.91,5.91,11,ADDS 5031
4.8,5.4,5.6,4.6,5.8,5.8,5.8,5,ADDS 5031
5.14,5.43,5.57,4.43,6.0,5.86,5.57,7,ADDS 5031
4.86,4.57,5.0,4.0,4.86,5.43,4.71,7,ADDS 5041
5.75,5.75,5.5,5.75,5.75,5.75,5.75,4,ADDS 5041
5.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ADDS 5041
4.86,4.86,4.71,4.86,5.14,5.43,4.86,7,ADDS 5041
5.78,5.89,5.89,6.0,5.89,6.0,5.89,9,ADDS 5041
5.29,4.86,5.29,4.14,5.57,5.57,4.86,7,ADDS 5051
5.2,5.4,5.4,5.4,5.4,5.4,5.4,5,ADDS 5051
5.78,5.78,5.78,5.78,5.67,5.78,5.78,9,ADDS 5051
5.88,5.88,5.75,5.88,5.88,5.75,5.88,8,ADDS 5051
6.0,5.5,6.0,6.0,6.0,6.0,6.0,2,ADDS 5061
5.83,5.83,5.83,6.0,5.83,5.83,5.83,6,ADDS 5061
6.0,6.0,5.8,6.0,6.0,6.0,6.0,5,ADDS 5061
5.9,5.8,5.9,5.8,5.9,5.7,5.8,10,ADDS 5061
6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,ADDS 5061
5.8,5.6,5.8,5.8,5.8,5.8,5.8,5,ADDS 5061
5.6,5.5,5.7,5.4,5.5,5.7,5.5,10,ADDS 5071
5.67,5.67,5.4,5.33,5.33,5.5,5.67,6,ADDS 5071
5.5,5.17,5.5,5.17,4.67,5.17,5.17,6,ADDS 5071
5.22,5.2,5.4,4.7,4.1,5.2,4.9,10,ADDS 5071
4.71,4.57,5.5,4.2,4.0,5.29,4.83,7,ADDS 5071
4.5,4.5,5.0,3.5,4.25,4.75,3.0,4,ADDS 5071
5.5,5.5,5.17,5.67,6.0,6.0,5.67,6,ADDS 5081
5.7,5.5,5.5,5.6,5.7,5.7,5.78,10,ADDS 5081
5.91,6.0,6.0,5.92,6.0,6.0,6.0,12,ADDS 5081
5.89,5.89,5.78,5.89,5.89,5.89,6.0,9,ADDS 5081
4.33,4.0,4.67,4.33,3.5,3.67,4.0,6,ADDS 5091
5.36,5.0,4.73,5.27,5.0,5.0,4.82,11,ADDS 5091
6.0,5.8,6.0,6.0,5.8,5.6,5.8,5,ADDS 5091
6.0,6.0,6.0,6.0,5.5,5.5,6.0,2,ADDS 5091
4.33,3.56,4.89,4.22,3.22,4.33,4.25,9,ADDS 5091
4.75,5.25,4.75,5.5,4.75,5.25,5.5,4,ADDS 5121
3.67,3.8,4.83,3.38,5.15,4.46,3.67,13,ADDS 5121
5.33,4.33,5.0,4.67,5.67,5.33,4.33,3,ADDS 5121
4.5,4.25,4.5,4.25,5.25,3.75,4.25,4,ADDS 5121
4.0,3.6,3.75,3.83,5.33,4.17,3.33,6,ADDS 5121
5.63,5.44,5.69,5.75,5.88,5.63,5.69,16,ADED 3101
5.5,5.42,5.75,5.75,5.83,5.83,5.75,12,ADED 3101
5.89,5.56,5.78,5.56,5.89,5.78,5.67,9,ADED 3101
5.64,5.57,5.69,5.64,5.86,5.93,5.86,14,ADED 3101
5.55,5.45,5.55,5.45,5.73,5.45,5.55,11,ADED 5101
5.0,5.0,4.67,4.83,5.5,5.67,5.17,6,ADED 5101
4.67,4.5,4.67,4.5,5.17,5.17,4.67,6,ADED 5101
5.0,4.8,6.0,5.2,5.2,5.6,5.0,5,ADED 5101
5.67,5.67,5.17,5.83,5.83,6.0,6.0,6,ADED 5101
5.75,5.25,5.63,5.5,5.13,5.88,5.25,8,ADED 5103
5.86,5.71,5.86,6.0,5.71,5.43,6.0,7,ADED 5103
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ADED 5196
6.0,6.0,,6.0,6.0,6.0,6.0,1,ADED 5196
5.67,6.0,5.0,6.0,5.33,5.67,5.67,3,ADES 1221
5.75,5.25,5.75,5.5,4.75,5.0,5.0,4,ADES 1221
6.0,5.0,5.5,5.5,5.0,6.0,5.5,2,ADES 2211
5.5,5.5,6.0,5.5,5.75,5.25,5.0,4,ADES 2211
4.84,4.22,4.44,4.26,4.59,4.56,4.1,102,ADES 2213
4.9,4.53,4.49,4.42,4.6,4.98,4.35,50,ADES 2213
5.14,4.93,5.14,5.07,5.07,4.71,4.79,14,ADES 2214
4.5,4.38,3.75,4.25,4.63,4.13,3.88,8,ADES 2214
6.0,5.63,5.25,5.88,5.0,5.13,5.5,8,ADES 2221
5.18,5.0,4.23,4.68,4.5,4.68,4.41,22,ADES 2221
5.38,5.38,4.0,5.0,4.63,4.0,5.13,8,ADES 2222
4.0,3.5,2.33,4.0,3.5,2.33,3.17,6,ADES 2222
3.97,4.21,2.5,3.97,4.15,3.26,3.36,39,ADES 3217
4.0,3.75,3.0,3.7,3.9,2.85,3.1,20,ADES 3217
5.67,5.67,5.5,5.5,5.5,5.33,5.67,6,ADES 3223
5.17,5.17,5.33,5.0,5.67,4.5,5.0,6,ADES 3223
5.33,4.67,5.33,5.0,5.0,5.0,5.0,3,ADES 3224
5.5,5.5,5.25,5.25,5.0,4.25,4.75,4,ADES 3224
4.6,5.4,5.25,5.2,5.4,5.0,5.4,5,ADES 3225
4.9,5.0,5.1,5.0,5.2,5.0,5.3,10,ADES 3225
5.22,4.9,5.0,5.2,5.0,4.2,5.1,10,ADES 3227
5.0,5.0,6.0,5.0,,5.0,6.0,1,ADES 3227
5.63,5.55,5.25,5.4,5.33,5.4,5.51,55,ADES 4121
5.63,5.48,5.52,5.4,5.0,5.61,5.45,73,ADES 4121
3.0,3.5,3.38,2.88,3.5,2.88,2.63,8,ADES 4215
5.8,6.0,5.6,5.6,4.6,4.2,5.2,5,ADES 4215
4.5,4.8,4.4,4.8,4.4,4.5,4.6,6,ADES 4225
5.17,5.43,5.5,5.5,5.14,5.14,5.5,7,ADES 4225
4.96,4.68,4.79,4.86,4.71,5.07,4.71,28,ADES 4218W
5.13,4.75,5.46,4.88,4.96,5.13,4.96,24,ADES 4218W
5.75,5.5,5.63,5.88,6.0,6.0,5.88,8,AECM 3434
5.61,5.29,5.43,5.43,5.18,4.89,5.11,28,AECM 3444
