Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Spr 2023,5.57,5.0,5.71,5.29,4.86,4.14,4.29,7,ABUS 4041
Sum 2023,6.0,6.0,6.0,5.0,6.0,6.0,6.0,1,ABUS 4041
Fall 2020,5.33,5.0,5.67,5.33,5.0,5.67,5.33,3,ABUS 4043
Spr 2021,4.33,4.0,4.33,4.67,4.83,5.67,4.67,6,ABUS 4043
Fall 2021,5.17,3.5,4.0,4.5,5.33,5.17,4.0,6,ABUS 4043
Spr 2022,4.33,4.0,3.0,3.33,3.67,4.67,3.33,3,ABUS 4043
Fall 2022,5.75,5.75,5.25,5.25,5.25,5.5,5.75,4,ABUS 4043
Spr 2023,5.0,4.5,4.5,5.0,5.0,5.5,4.5,2,ABUS 4043
Fall 2020,5.38,4.75,5.25,5.13,5.38,5.5,5.0,8,ABUS 4101
Spr 2021,5.5,3.5,5.0,4.0,5.5,5.5,4.5,2,ABUS 4101
Sum 2021,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1,ABUS 4101
Fall 2021,6.0,5.67,5.33,5.67,5.67,6.0,5.33,3,ABUS 4101
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ABUS 4101
Fall 2022,5.5,4.5,5.5,5.5,5.5,5.5,5.0,2,ABUS 4101
Spr 2023,5.5,4.5,5.5,5.0,6.0,6.0,4.0,2,ABUS 4101
Sum 2023,6.0,6.0,6.0,6.0,4.5,6.0,5.5,2,ABUS 4101
Fall 2020,5.67,5.33,5.33,5.33,5.33,5.33,5.67,3,ABUS 4104
Spr 2021,5.57,5.0,5.43,5.29,5.14,5.57,5.43,7,ABUS 4104
Fall 2021,5.17,4.67,5.5,5.5,5.5,5.5,5.33,6,ABUS 4104
Spr 2022,5.2,5.0,5.4,5.2,5.4,5.5,5.4,10,ABUS 4104
Fall 2022,5.38,5.38,5.38,5.25,5.0,5.0,5.38,8,ABUS 4104
Spr 2023,5.25,4.83,5.33,5.33,5.0,4.67,4.83,12,ABUS 4104
Fall 2020,5.75,5.75,5.5,5.25,5.25,4.75,5.25,4,ABUS 4105
