Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Fall 2022,4.95,4.45,4.34,4.53,4.34,4.32,4.13,131,MATH 2374
Spr 2023,5.45,5.14,4.95,5.22,5.37,5.48,5.16,83,MATH 2374
Spr 2021,5.4,5.2,4.8,5.2,4.2,4.4,5.4,5,MATH 2471
Spr 2022,5.5,4.6,4.4,5.2,4.6,4.4,5.0,6,MATH 2471
Spr 2023,5.67,5.0,4.33,5.0,5.0,5.0,5.67,3,MATH 2471
Fall 2020,5.75,5.25,4.75,5.38,4.5,4.75,5.63,8,MATH 2472
Fall 2021,5.63,5.13,5.0,5.13,4.88,4.63,5.63,8,MATH 2472
Fall 2022,5.8,5.0,5.2,5.6,5.0,5.4,5.2,5,MATH 2472
Spr 2021,5.55,5.09,5.45,5.18,5.18,5.09,5.27,11,MATH 2473
Spr 2022,5.83,5.17,5.83,5.83,5.33,5.83,5.17,6,MATH 2473
Spr 2023,4.5,4.5,5.0,4.75,4.75,4.75,4.5,4,MATH 2473
Fall 2020,5.43,5.09,5.26,5.29,5.11,5.03,5.14,35,MATH 4065
Spr 2021,5.38,4.87,5.1,4.97,5.28,4.95,5.03,39,MATH 4065
Fall 2021,5.77,5.64,5.14,5.64,5.36,5.32,5.36,22,MATH 4065
Spr 2022,5.84,5.42,5.42,5.53,5.53,5.58,5.68,19,MATH 4065
Fall 2022,5.8,5.48,5.32,5.56,5.32,5.2,5.4,25,MATH 4065
Spr 2023,5.89,5.61,5.75,5.78,5.5,5.5,5.78,18,MATH 4065
Spr 2021,3.4,3.2,3.4,4.33,4.4,3.6,3.4,5,MATH 4152
Spr 2022,5.33,4.17,4.67,4.75,5.18,4.67,4.75,12,MATH 4152
Spr 2023,3.13,2.88,3.38,3.63,4.0,3.0,2.88,8,MATH 4152
Fall 2020,4.92,4.43,4.92,4.73,4.48,4.65,4.52,86,MATH 4242
Spr 2021,4.8,4.27,4.73,4.71,4.8,4.65,4.35,66,MATH 4242
Sum 2021,5.5,4.88,4.88,5.0,5.0,4.88,5.0,8,MATH 4242
Fall 2021,5.1,4.53,5.13,4.76,4.93,4.64,4.75,72,MATH 4242
Spr 2022,4.69,4.34,4.1,4.38,4.74,4.44,4.03,32,MATH 4242
Fall 2022,5.0,4.36,4.11,4.73,4.52,4.36,4.38,42,MATH 4242
Spr 2023,5.21,4.65,4.93,4.98,5.13,5.28,4.92,63,MATH 4242
Sum 2023,3.67,3.0,4.33,3.0,3.33,2.5,3.33,3,MATH 4242
Fall 2020,4.5,3.86,4.27,4.47,4.43,4.29,3.87,15,MATH 4281
Spr 2021,5.19,5.26,5.3,5.26,5.33,5.52,5.15,27,MATH 4281
Sum 2021,3.75,4.25,4.5,4.5,4.0,4.75,4.5,4,MATH 4281
Fall 2021,5.67,5.29,4.7,5.29,5.62,4.86,5.38,21,MATH 4281
Spr 2022,5.31,5.0,5.0,5.07,4.88,5.06,4.69,16,MATH 4281
Fall 2022,5.26,4.84,5.56,5.12,5.0,5.37,5.26,19,MATH 4281
Spr 2023,4.89,4.11,3.81,4.19,3.82,3.82,4.0,18,MATH 4281
Sum 2023,5.0,5.5,5.0,5.5,5.5,4.0,5.5,2,MATH 4281
Spr 2021,5.0,4.75,5.07,5.0,5.13,5.13,5.31,16,MATH 4428
Spr 2022,4.29,3.86,2.92,3.83,4.77,3.93,3.07,14,MATH 4428
Spr 2023,5.0,4.7,4.78,4.61,4.95,4.96,4.73,23,MATH 4428
Fall 2020,4.8,4.2,5.2,5.0,5.4,5.4,4.4,5,MATH 4512
Spr 2021,5.29,4.79,5.36,4.93,5.14,4.57,5.0,14,MATH 4512
Fall 2021,5.43,5.29,5.43,5.57,5.71,5.43,5.29,7,MATH 4512
Spr 2022,5.5,5.0,5.39,5.33,5.22,5.39,5.33,18,MATH 4512
Fall 2022,4.89,4.25,4.38,4.63,4.75,4.88,4.63,10,MATH 4512
Spr 2023,3.83,3.2,2.83,2.83,3.5,2.33,3.0,6,MATH 4512
Fall 2020,5.0,5.0,4.33,4.0,4.67,4.5,5.17,6,MATH 4567
Spr 2021,5.33,5.25,4.53,5.31,5.38,5.0,4.94,16,MATH 4567
Fall 2021,5.1,4.7,3.22,4.67,5.2,4.3,4.9,10,MATH 4567
Spr 2022,5.23,5.23,5.23,5.25,5.15,5.23,5.17,13,MATH 4567
Fall 2022,5.43,5.0,5.33,5.57,5.43,5.29,5.57,7,MATH 4567
Spr 2023,5.31,4.92,5.17,5.54,5.38,5.23,5.0,13,MATH 4567
Fall 2020,4.76,4.24,4.94,4.44,4.29,4.82,3.94,17,MATH 4603
Sum 2021,4.67,4.33,4.8,4.17,4.33,4.67,4.67,6,MATH 4603
Fall 2021,4.83,4.12,4.75,4.47,4.61,4.39,4.24,18,MATH 4603
Fall 2022,4.67,4.42,4.75,4.67,4.92,5.0,4.5,12,MATH 4603
Spr 2021,5.0,5.5,5.5,5.5,5.0,5.5,5.5,2,MATH 4604
Spr 2022,5.67,5.33,6.0,5.33,5.0,4.0,5.33,3,MATH 4604
Fall 2020,5.0,4.75,4.5,5.0,5.25,5.25,4.75,8,MATH 4653
Spr 2021,4.0,4.0,4.33,4.33,5.0,4.67,5.33,3,MATH 4653
Fall 2021,6.0,4.5,4.5,4.5,4.5,4.0,5.0,2,MATH 4653
Spr 2022,5.56,5.44,5.25,5.44,5.89,5.89,5.56,9,MATH 4653
Fall 2022,5.0,5.0,2.0,3.0,2.0,2.0,2.0,1,MATH 4653
Spr 2023,6.0,5.67,5.5,5.83,5.67,5.5,5.67,6,MATH 4653
Fall 2020,5.5,5.07,5.43,5.0,5.43,5.29,5.43,14,MATH 4707
Spr 2021,5.55,5.18,5.45,5.45,5.27,4.91,5.27,11,MATH 4707
Fall 2021,5.64,5.18,5.45,5.36,5.55,4.64,5.09,11,MATH 4707
Spr 2022,5.17,4.83,5.0,5.33,4.83,4.33,5.17,6,MATH 4707
Fall 2022,5.23,4.92,5.31,4.85,4.15,4.15,4.69,13,MATH 4707
Spr 2023,5.9,5.62,5.65,5.95,5.62,5.67,5.81,21,MATH 4707
Fall 2021,6.0,6.0,6.0,6.0,6.0,5.0,6.0,1,MATH 4990
Fall 2020,5.52,5.28,4.96,5.04,5.24,5.16,5.36,25,MATH 5067
Fall 2021,5.4,5.4,5.8,5.8,5.6,5.8,5.3,10,MATH 5067
Fall 2022,5.87,5.2,5.2,5.87,5.47,5.8,5.33,15,MATH 5067
Spr 2021,5.56,5.25,5.4,5.44,5.5,5.5,5.56,16,MATH 5068
Spr 2022,6.0,5.75,5.75,6.0,6.0,5.5,5.88,8,MATH 5068
Spr 2023,5.86,5.71,5.43,5.83,5.71,5.86,5.71,7,MATH 5068
Fall 2020,5.14,4.6,4.73,4.4,4.93,4.33,4.27,15,MATH 5075
Fall 2021,5.69,5.44,5.25,5.44,5.56,5.44,5.69,16,MATH 5075
Fall 2022,5.5,5.05,5.35,5.55,5.6,5.2,5.42,20,MATH 5075
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 5076
Fall 2020,5.21,4.71,4.57,5.08,5.57,5.14,5.14,14,MATH 5165
Fall 2021,4.89,4.56,4.5,4.78,5.11,5.44,4.89,9,MATH 5165
Fall 2022,4.36,3.43,4.14,4.36,5.57,4.86,3.29,14,MATH 5165
Fall 2020,5.23,4.8,5.13,5.07,5.17,5.47,5.03,30,MATH 5248
Spr 2021,5.64,5.18,5.18,4.91,5.23,5.0,5.27,22,MATH 5248
Sum 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,MATH 5248
Fall 2021,5.61,5.0,5.54,5.31,5.08,5.11,5.25,36,MATH 5248
Spr 2022,5.77,5.41,5.83,5.8,5.67,5.07,5.7,30,MATH 5248
Sum 2022,5.0,4.5,4.0,4.75,5.0,5.0,4.75,4,MATH 5248
Fall 2022,4.65,4.02,3.9,4.16,4.0,3.96,3.63,46,MATH 5248
Spr 2023,5.6,5.16,5.33,5.48,5.28,5.52,5.44,25,MATH 5248
Fall 2020,5.5,5.5,5.5,5.75,6.0,6.0,5.5,4,MATH 5251
Spr 2021,4.5,3.67,4.5,3.67,4.17,4.5,3.67,6,MATH 5251
Fall 2021,5.89,5.33,5.67,5.56,5.89,5.44,5.56,9,MATH 5251
Spr 2022,5.43,5.14,5.29,5.14,5.29,5.14,5.43,7,MATH 5251
Fall 2022,4.5,3.5,3.0,3.5,4.5,3.5,3.0,2,MATH 5251
Spr 2023,4.5,4.33,4.6,4.83,4.8,5.33,4.33,7,MATH 5251
Fall 2020,5.81,5.19,5.5,5.56,5.69,5.63,5.56,16,MATH 5335
Fall 2021,5.83,6.0,6.0,6.0,6.0,6.0,6.0,6,MATH 5335
Fall 2022,5.71,5.76,5.82,5.76,5.71,5.71,5.82,17,MATH 5335
Spr 2021,5.2,4.8,5.25,4.56,5.1,5.2,4.8,10,MATH 5378
Spr 2022,3.6,2.5,3.5,2.75,4.33,3.25,2.5,5,MATH 5378
Spr 2023,5.75,4.5,5.5,5.0,5.0,4.25,4.25,4,MATH 5378
Spr 2021,4.8,4.2,4.6,5.0,4.8,5.2,4.0,5,MATH 5385
Spr 2022,5.5,5.0,5.0,5.25,5.0,5.5,4.75,4,MATH 5385
Spr 2023,5.5,5.25,4.0,5.5,5.0,5.25,5.0,4,MATH 5385
Spr 2022,5.4,5.4,4.6,4.6,4.4,3.6,4.4,5,MATH 5445
Spr 2023,4.33,4.0,4.0,4.33,4.0,3.67,4.0,3,MATH 5445
Fall 2020,5.33,5.17,5.67,5.67,5.33,5.17,5.17,6,MATH 5447
Fall 2021,5.83,5.83,5.5,5.83,5.67,5.67,5.83,6,MATH 5447
Fall 2022,5.75,5.38,4.88,5.75,5.75,5.13,5.63,8,MATH 5447
Spr 2021,5.65,5.3,5.65,5.57,5.43,5.26,5.48,23,MATH 5467
Spr 2022,4.75,4.58,5.17,5.0,4.92,4.83,4.75,12,MATH 5467
Fall 2020,4.58,4.26,3.68,4.71,5.21,5.05,4.42,19,MATH 5485
Fall 2021,5.69,4.38,4.67,4.54,4.62,4.54,4.31,13,MATH 5485
Fall 2022,5.23,5.08,5.67,5.55,5.46,5.08,5.08,13,MATH 5485
Spr 2021,5.43,4.57,3.71,5.17,5.43,5.0,4.57,7,MATH 5486
Spr 2022,5.27,4.18,3.89,4.55,4.64,4.55,4.18,11,MATH 5486
Spr 2023,5.6,5.6,5.7,5.7,5.7,5.7,5.5,10,MATH 5486
Spr 2022,5.5,5.75,4.33,5.75,5.75,5.5,6.0,4,MATH 5490
Spr 2023,5.58,5.28,5.65,5.58,5.85,5.77,5.62,26,MATH 5490
Spr 2021,5.0,4.6,4.8,4.73,4.73,4.55,4.45,11,MATH 5525
Spr 2022,4.0,3.83,2.67,4.33,4.83,3.33,2.67,6,MATH 5525
Spr 2023,5.13,4.5,4.75,5.43,4.88,5.25,4.63,8,MATH 5525
Fall 2020,5.6,5.2,5.3,5.5,5.6,5.2,5.5,10,MATH 5535
Fall 2021,5.5,4.83,5.33,5.33,5.0,5.67,4.67,6,MATH 5535
Fall 2022,6.0,5.5,6.0,6.0,6.0,6.0,5.75,4,MATH 5535
Fall 2020,5.22,4.56,5.22,4.71,4.56,4.44,4.67,9,MATH 5583
Fall 2021,5.29,5.14,4.14,5.17,5.29,4.14,4.71,7,MATH 5583
Fall 2022,5.86,5.29,5.33,5.5,5.86,5.71,5.71,7,MATH 5583
Fall 2020,5.5,5.11,5.39,5.44,5.22,5.5,5.39,18,MATH 5587
Fall 2021,4.88,4.13,4.83,5.0,4.25,3.75,4.38,8,MATH 5587
Fall 2022,5.03,4.37,4.89,5.0,4.5,4.57,4.43,30,MATH 5587
Spr 2021,5.0,4.4,5.25,4.8,5.2,4.2,5.0,5,MATH 5588
Spr 2022,3.5,4.0,1.0,4.0,3.5,2.0,3.0,2,MATH 5588
Spr 2023,5.75,5.75,5.75,5.75,5.5,5.0,6.0,4,MATH 5588
Fall 2020,5.0,4.71,4.9,4.94,4.78,4.57,4.78,49,MATH 5651
Spr 2021,4.27,3.59,3.75,3.65,4.45,4.09,3.73,22,MATH 5651
Fall 2021,5.3,4.81,4.38,4.78,5.35,4.57,5.03,38,MATH 5651
Spr 2022,5.18,4.71,4.96,4.93,4.89,4.89,4.86,28,MATH 5651
Fall 2022,5.4,5.36,5.15,5.29,5.36,5.54,5.43,15,MATH 5651
Spr 2023,4.91,4.32,4.05,4.91,4.64,4.33,4.36,22,MATH 5651
Fall 2020,4.97,4.43,5.03,4.72,4.73,4.97,4.4,30,MATH 5652
Spr 2021,5.23,4.91,5.22,5.21,4.91,5.2,4.91,56,MATH 5652
Fall 2021,5.47,5.16,5.12,5.0,5.22,5.24,5.05,19,MATH 5652
Spr 2022,5.14,4.79,5.0,5.08,4.79,5.21,4.5,14,MATH 5652
Fall 2022,5.4,4.2,5.43,5.29,4.67,5.6,4.53,15,MATH 5652
Spr 2023,5.4,5.3,5.3,5.1,5.6,5.3,5.0,10,MATH 5652
Fall 2020,5.75,6.0,5.0,5.5,5.5,5.5,6.0,4,MATH 5705
Fall 2021,6.0,5.67,5.8,6.0,5.83,6.0,6.0,6,MATH 5705
Fall 2022,6.0,6.0,5.67,6.0,5.67,5.33,6.0,3,MATH 5705
Spr 2021,5.55,5.18,4.73,5.27,5.36,5.0,5.55,11,MATH 5707
Spr 2022,5.93,5.8,5.73,5.93,6.0,5.93,5.87,15,MATH 5707
Spr 2023,5.92,5.58,5.5,5.73,5.75,5.58,5.83,12,MATH 5707
Fall 2020,5.25,4.5,5.2,4.75,4.75,5.0,4.63,16,MATH 5711
Fall 2021,5.79,5.43,5.64,5.57,5.64,5.64,5.43,14,MATH 5711
Fall 2022,5.25,4.5,4.75,4.38,5.0,4.63,4.25,8,MATH 5711
Fall 2020,5.5,5.13,5.38,4.75,5.71,5.57,5.71,8,MATH 8001
Fall 2021,4.14,3.86,4.71,4.0,4.67,4.86,3.8,7,MATH 8001
Fall 2022,5.5,4.8,5.36,5.36,5.64,5.45,5.3,11,MATH 8001
Fall 2020,5.8,5.6,5.6,5.8,5.6,5.6,5.8,5,MATH 8201
Fall 2022,5.71,5.57,5.0,5.71,4.86,5.29,5.43,7,MATH 8201
Spr 2021,5.75,5.25,5.5,5.38,5.63,5.5,5.88,8,MATH 8202
Spr 2023,6.0,5.5,6.0,6.0,5.83,4.83,5.83,6,MATH 8202
Fall 2022,5.5,5.5,6.0,6.0,5.5,6.0,6.0,2,MATH 8207
Spr 2023,5.0,4.5,6.0,6.0,5.5,5.0,5.5,2,MATH 8208
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,MATH 8211
Fall 2022,5.4,4.6,4.0,5.5,5.0,4.2,4.6,5,MATH 8211
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8212
Spr 2023,5.45,5.09,5.67,5.1,5.0,4.7,5.18,11,MATH 8212
Fall 2020,5.5,5.0,5.33,5.67,5.5,4.6,5.33,6,MATH 8251
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8252
Spr 2022,5.0,6.0,,,5.0,4.0,4.0,1,MATH 8252
Fall 2020,5.67,5.33,5.67,5.33,5.33,6.0,4.67,3,MATH 8253
Fall 2022,5.0,4.75,3.33,5.25,4.5,4.75,5.0,4,MATH 8253
Spr 2021,5.33,5.0,5.33,5.33,5.67,5.0,5.0,3,MATH 8254
Spr 2022,5.5,6.0,6.0,6.0,5.5,5.0,6.0,2,MATH 8254
Spr 2023,5.67,6.0,5.33,5.67,5.0,5.33,5.33,3,MATH 8254
Fall 2022,5.67,5.67,5.5,5.5,5.33,5.5,5.33,3,MATH 8271
Spr 2023,6.0,6.0,5.5,5.5,5.67,5.5,5.33,3,MATH 8272
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,MATH 8280
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,MATH 8280
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,MATH 8280
Fall 2020,5.22,4.89,4.67,4.5,5.78,5.22,5.22,9,MATH 8300
Spr 2021,4.67,4.67,4.67,5.33,5.33,4.67,4.67,3,MATH 8300
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8300
Spr 2022,5.0,5.0,5.0,5.0,6.0,5.0,5.0,1,MATH 8300
Fall 2020,5.25,4.5,3.71,4.5,4.43,5.43,4.38,8,MATH 8301
Fall 2021,6.0,5.83,5.17,5.6,5.17,5.5,5.83,6,MATH 8301
Fall 2022,5.83,5.67,5.75,5.67,5.67,5.5,5.67,6,MATH 8301
Spr 2021,5.0,4.17,3.67,4.8,5.0,5.5,4.17,6,MATH 8302
Spr 2022,5.8,5.8,5.8,5.5,5.6,5.0,5.8,5,MATH 8302
Spr 2023,5.0,4.67,5.33,5.17,5.17,4.67,5.0,6,MATH 8302
Fall 2020,5.86,5.71,5.71,5.83,6.0,5.57,6.0,7,MATH 8306
Spr 2021,5.6,5.2,5.8,5.0,5.8,6.0,5.8,5,MATH 8307
Fall 2020,6.0,5.75,6.0,5.75,6.0,6.0,6.0,4,MATH 8360
Fall 2021,6.0,6.0,4.0,4.0,6.0,6.0,6.0,1,MATH 8360
Fall 2021,6.0,6.0,5.5,6.0,6.0,6.0,6.0,2,MATH 8365
Fall 2022,6.0,4.0,4.0,5.0,6.0,5.0,5.0,1,MATH 8365
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,MATH 8385
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,MATH 8387
Fall 2020,4.2,3.8,4.4,4.25,4.6,3.8,3.8,5,MATH 8401
Fall 2021,4.17,4.0,4.25,4.4,4.0,5.33,4.0,6,MATH 8401
Fall 2022,4.64,4.21,4.33,4.64,5.36,5.54,4.93,14,MATH 8401
Spr 2021,4.75,4.75,5.0,4.75,4.0,4.0,4.75,4,MATH 8402
Spr 2022,4.0,4.0,4.0,4.0,5.5,6.0,4.5,2,MATH 8402
Spr 2023,4.8,4.25,4.67,5.0,5.25,5.0,4.75,5,MATH 8402
Fall 2020,5.14,5.63,5.75,5.63,4.88,5.25,5.63,8,MATH 8441
Fall 2021,4.5,4.5,5.0,4.75,5.5,5.33,5.0,4,MATH 8441
Fall 2022,4.5,4.33,4.6,4.4,5.4,4.5,4.5,6,MATH 8441
Spr 2021,6.0,5.0,5.5,5.5,5.5,5.5,6.0,2,MATH 8442
Spr 2022,6.0,5.67,6.0,6.0,6.0,6.0,6.0,3,MATH 8442
Spr 2023,6.0,6.0,5.0,6.0,5.5,5.5,6.0,2,MATH 8442
Fall 2022,5.4,5.6,5.4,5.4,5.6,5.6,5.5,10,MATH 8445
Spr 2021,6.0,6.0,5.5,6.0,6.0,6.0,6.0,2,MATH 8446
Spr 2023,5.75,5.75,5.75,5.75,5.75,5.75,5.75,4,MATH 8446
Fall 2021,5.5,5.5,6.0,6.0,6.0,6.0,6.0,2,MATH 8450
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8501
Fall 2022,5.33,5.0,6.0,5.0,5.0,5.67,6.0,3,MATH 8501
Spr 2021,4.33,4.33,5.33,4.33,5.0,5.33,4.33,3,MATH 8502
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,MATH 8502
Spr 2021,4.33,4.67,4.0,4.0,5.67,2.67,5.0,3,MATH 8540
Fall 2021,5.75,5.75,5.75,5.75,5.67,5.75,5.75,4,MATH 8540
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,MATH 8540
Fall 2020,5.71,5.0,5.71,5.57,5.71,5.43,5.71,7,MATH 8583
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8583
Spr 2021,5.4,5.0,5.6,6.0,6.0,6.0,5.4,5,MATH 8584
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,MATH 8584
Spr 2022,6.0,5.83,6.0,6.0,6.0,6.0,6.0,6,MATH 8600
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,MATH 8600
Fall 2020,5.57,5.64,5.43,5.67,5.43,5.31,5.71,14,MATH 8601
Fall 2021,6.0,5.6,5.0,5.6,5.6,5.4,5.8,5,MATH 8601
Fall 2022,5.83,5.67,5.4,5.2,5.67,5.67,5.83,6,MATH 8601
Spr 2021,5.7,5.4,5.25,5.6,5.3,4.8,5.6,11,MATH 8602
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8602
Spr 2023,5.5,5.0,5.5,4.67,5.25,5.25,5.0,5,MATH 8602
Fall 2022,5.0,5.0,5.5,5.33,5.33,5.67,5.0,3,MATH 8640
Fall 2020,5.3,5.22,4.3,4.44,4.9,5.33,4.78,10,MATH 8651
Fall 2021,5.9,5.8,5.9,5.9,5.8,5.89,5.9,10,MATH 8651
Fall 2022,5.67,5.67,5.5,5.67,5.33,5.67,5.5,6,MATH 8651
Spr 2021,6.0,5.25,4.75,4.75,5.0,5.75,5.25,4,MATH 8652
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,MATH 8652
Spr 2023,5.71,5.57,5.57,5.57,5.0,5.86,5.57,7,MATH 8652
Fall 2020,5.83,5.83,5.83,5.2,5.2,5.0,5.5,6,MATH 8659
Fall 2021,5.75,5.75,6.0,6.0,6.0,6.0,6.0,4,MATH 8660
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8660
Fall 2021,6.0,5.75,5.6,5.71,5.63,5.25,5.88,8,MATH 8668
Spr 2022,6.0,5.6,5.75,5.8,6.0,6.0,6.0,5,MATH 8669
Fall 2020,5.75,5.5,5.5,5.63,5.75,5.0,5.75,8,MATH 8680
Spr 2021,5.56,5.33,5.67,5.11,5.75,5.56,5.78,9,MATH 8680
Fall 2022,5.8,5.4,5.67,5.75,6.0,5.8,5.4,5,MATH 8680
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,MATH 8680
Fall 2020,5.67,5.56,5.44,5.56,5.89,6.0,5.89,10,MATH 8701
Fall 2021,6.0,6.0,6.0,6.0,5.33,6.0,6.0,3,MATH 8701
Fall 2022,5.0,4.57,5.33,4.57,5.14,5.0,5.0,7,MATH 8701
Spr 2021,6.0,5.67,5.67,5.67,6.0,6.0,5.67,4,MATH 8702
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8702
Spr 2023,5.5,5.0,5.5,5.33,5.33,4.67,5.0,4,MATH 8702
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,MATH 8801
Fall 2021,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,MATH 8801
Fall 2022,6.0,6.0,,6.0,6.0,4.5,6.0,2,MATH 8801
Spr 2021,5.75,5.5,6.0,5.75,5.75,6.0,6.0,4,MATH 8802
Spr 2023,6.0,6.0,,6.0,5.5,5.0,6.0,2,MATH 8802
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,MATH 8992
Spr 2023,6.0,6.0,6.0,6.0,6.0,,6.0,1,MATH 8992
Fall 2020,4.37,3.37,4.53,4.33,3.97,4.03,3.83,30,MATH 1571H
Fall 2021,5.25,4.56,5.03,5.13,4.63,4.84,5.09,32,MATH 1571H
Fall 2022,5.09,4.57,4.56,5.0,5.0,4.45,4.41,22,MATH 1571H
Fall 2020,4.59,4.03,4.14,4.31,4.77,4.57,4.37,37,MATH 1572H
Spr 2021,4.18,3.18,5.0,3.83,3.83,4.92,3.75,12,MATH 1572H
Fall 2021,4.92,4.14,4.39,4.86,4.51,3.96,4.18,49,MATH 1572H
Spr 2022,5.11,4.56,5.44,5.11,4.56,5.11,4.33,9,MATH 1572H
Fall 2022,5.0,4.38,3.57,4.4,4.13,4.25,4.56,16,MATH 1572H
Spr 2023,4.61,4.47,4.82,4.56,4.17,4.94,3.88,18,MATH 1572H
Fall 2020,5.3,4.81,5.07,5.14,5.34,5.25,5.38,91,MATH 2573H
Fall 2021,5.25,4.65,5.07,4.85,4.98,4.86,4.63,65,MATH 2573H
Fall 2022,4.98,4.33,4.69,4.61,4.64,4.92,4.51,61,MATH 2573H
Spr 2021,5.0,4.57,4.89,5.03,5.39,5.19,5.0,38,MATH 2574H
Spr 2022,5.42,4.68,4.94,5.15,5.36,4.6,5.17,60,MATH 2574H
Spr 2023,5.49,5.24,5.32,5.53,5.55,4.72,5.46,51,MATH 2574H
Fall 2020,5.46,5.15,5.45,5.31,5.18,4.97,5.14,155,MATH 3283W
Spr 2021,5.15,4.64,5.3,5.19,4.75,4.76,4.76,167,MATH 3283W
Fall 2021,5.28,4.73,5.14,5.14,4.87,4.74,4.76,76,MATH 3283W
Spr 2022,5.19,4.78,5.26,5.16,4.93,4.71,4.83,69,MATH 3283W
Fall 2022,5.54,5.19,5.34,5.47,5.23,5.3,5.31,107,MATH 3283W
Spr 2023,5.28,5.01,5.04,5.21,4.82,5.03,4.7,100,MATH 3283W
Fall 2020,5.6,5.2,5.4,5.4,4.5,5.5,5.0,10,MATH 3592H
Fall 2021,5.83,5.67,5.5,5.67,5.33,5.5,5.67,6,MATH 3592H
Fall 2022,5.88,5.43,4.57,5.43,5.43,5.43,5.86,8,MATH 3592H
Spr 2021,6.0,5.33,5.33,5.0,6.0,6.0,6.0,3,MATH 3593H
Spr 2022,5.6,5.6,5.2,5.4,5.4,5.2,5.6,6,MATH 3593H
Spr 2023,5.5,5.38,4.57,5.38,5.75,5.75,5.38,8,MATH 3593H
Fall 2020,5.42,5.35,5.25,5.15,4.95,5.15,5.35,20,MATH 4067W
Spr 2021,5.13,5.25,5.38,5.63,5.44,5.69,5.31,16,MATH 4067W
Fall 2021,6.0,6.0,5.75,6.0,5.75,5.88,5.25,8,MATH 4067W
Spr 2022,5.63,5.38,5.5,5.75,5.75,5.75,5.63,8,MATH 4067W
Fall 2022,5.67,5.33,6.0,5.67,4.67,5.0,5.33,3,MATH 4067W
Spr 2023,5.75,6.0,6.0,6.0,6.0,6.0,6.0,4,MATH 4067W
Spr 2023,5.44,5.44,5.19,5.69,5.6,5.4,5.6,16,MATH 4471W
Fall 2020,5.12,4.24,4.76,4.29,3.94,4.41,4.47,17,MATH 5285H
Fall 2021,5.67,5.0,5.5,5.67,4.67,5.67,5.5,6,MATH 5285H
Fall 2022,4.73,4.73,5.44,4.3,4.64,4.91,4.64,11,MATH 5285H
Spr 2021,5.67,5.33,5.5,5.0,5.33,5.67,5.5,6,MATH 5286H
Spr 2022,5.67,4.67,5.17,5.67,4.67,5.83,5.17,6,MATH 5286H
Spr 2023,5.43,4.86,4.86,4.86,5.17,5.0,5.14,7,MATH 5286H
Fall 2020,5.5,5.38,5.25,5.0,5.13,4.38,5.5,8,MATH 5345H
Fall 2021,6.0,5.67,4.6,5.17,5.17,5.5,5.83,6,MATH 5345H
Fall 2022,6.0,5.88,5.5,5.71,5.75,5.38,5.88,8,MATH 5345H
Fall 2020,5.32,4.52,4.96,4.92,4.8,4.88,4.76,25,MATH 5615H
Fall 2021,5.27,4.67,4.93,4.87,4.4,5.07,4.6,15,MATH 5615H
Fall 2022,5.06,5.12,4.94,4.71,4.71,4.33,4.59,17,MATH 5615H
Spr 2021,5.44,5.0,5.5,5.47,5.19,5.5,5.25,16,MATH 5616H
Spr 2022,5.2,4.75,5.0,5.2,3.6,5.2,4.8,5,MATH 5616H
Spr 2023,5.58,5.17,5.42,5.33,5.33,5.25,5.33,12,MATH 5616H
Fall 2020,5.6,5.0,5.6,5.4,5.8,5.8,5.8,5,MATS 1001
