DEEP_UND,STIM_INT,TECH_EFF,GRAD_STAND,RECC,RESP,FULL_NAME
5.25,4.75,3.75,4.50,3.67,4,ABUS 4217
4.50,2.00,2.50,2.00,2.00,2,ABUS 4217
4.14,3.43,3.29,4.71,3.57,7,ABUS 4501
5.25,4.75,5.25,5.75,5.25,4,ABUS 4501
4.83,4.17,3.50,4.17,3.83,6,ABUS 4501
5.50,5.75,5.75,5.25,5.75,5,ABUS 4502
6.00,6.00,6.00,6.00,6.00,2,ABUS 4502
5.33,5.33,5.83,5.33,5.00,6,ABUS 4509
5.11,4.44,5.22,5.11,4.22,9,ABUS 4509
4.67,4.67,4.33,4.67,4.67,3,ABUS 4509
5.40,5.40,5.40,5.60,5.40,5,ABUS 4509
5.50,5.00,5.50,5.50,5.50,2,ABUS 4509
5.00,5.17,4.83,5.33,5.17,6,ABUS 4515
5.75,5.50,5.50,5.50,5.75,4,ABUS 4515
5.60,5.60,5.60,5.60,5.60,10,ABUS 4515
5.50,5.50,5.50,5.00,5.50,2,ABUS 4515
5.29,5.14,5.14,5.00,5.17,7,ABUS 4515
6.00,6.00,6.00,5.83,6.00,6,ABUS 4515
5.20,4.80,5.00,4.40,4.80,5,ABUS 4515
5.40,5.40,5.00,5.60,5.20,5,ABUS 4515
5.00,4.50,4.00,4.50,3.00,2,ABUS 4515
4.33,4.00,4.67,4.33,5.00,3,ABUS 4515
5.00,5.00,5.00,5.50,5.00,2,ABUS 4571
6.00,5.75,6.00,6.00,6.00,4,ABUS 4571
5.33,4.89,4.78,5.44,5.00,9,ABUS 4571
5.57,5.71,5.57,5.86,5.86,14,ABUS 4571
4.92,4.42,3.23,4.15,4.15,13,ABUS 4571
4.40,3.80,4.80,3.60,4.00,5,ABUS 4571
4.75,3.50,2.00,3.50,3.75,4,ABUS 4571
5.67,5.50,4.50,4.83,5.00,6,ABUS 4571
5.56,5.11,4.56,5.56,4.78,18,ABUS 4571
4.00,3.60,2.40,3.40,3.20,5,ABUS 4571
4.75,4.38,5.00,5.25,4.88,8,ABUS 4701
5.41,5.06,5.47,5.12,5.12,17,ABUS 4701
5.50,4.75,5.50,4.88,4.63,8,ABUS 4701
5.13,4.88,5.38,5.50,5.13,16,ABUS 4701
5.78,5.33,5.33,5.11,5.11,18,ABUS 4701
5.50,5.00,6.00,6.00,5.50,4,ABUS 4701
5.44,5.22,5.67,5.56,5.56,9,ABUS 4701
5.00,5.00,5.00,5.00,5.00,1,ABUS 4701
6.00,6.00,6.00,6.00,6.00,1,ABUS 4701
6.00,5.00,5.00,6.00,5.50,2,ABUS 4701
5.25,4.50,3.00,3.50,3.75,4,ABUS 4702
3.88,3.38,4.00,2.50,3.00,8,ABUS 4702
5.00,5.00,3.00,4.00,3.00,1,ABUS 4702
3.67,5.00,4.67,5.00,5.33,3,ABUS 4703
4.50,4.00,1.50,3.50,2.50,2,ABUS 4703
3.67,3.67,4.33,4.00,3.33,3,ABUS 4703
4.00,4.67,2.33,4.33,4.67,3,ABUS 4703
5.75,5.50,5.00,5.75,5.50,4,ABUS 4705
6.00,5.00,4.00,6.00,6.00,1,ABUS 4705
5.17,5.00,4.83,5.17,5.00,6,ABUS 4705
6.00,5.00,4.00,6.00,6.00,1,ABUS 4709
5.67,5.67,5.33,5.67,6.00,3,ABUS 4709
5.00,6.00,6.00,6.00,6.00,1,ABUS 4711
5.09,4.36,5.36,5.55,5.40,11,ABUS 4013W
5.88,5.82,5.88,6.00,5.88,17,ABUS 4013W
5.20,5.33,5.33,5.40,5.20,16,ABUS 4013W
5.28,5.06,5.28,5.61,5.22,18,ABUS 4013W
5.17,5.00,5.17,4.00,4.00,6,ABUS 4013W
4.77,4.38,4.92,4.46,4.62,13,ABUS 4013W
4.25,4.00,5.25,5.25,5.00,8,ABUS 4013W
5.13,4.63,4.57,4.75,4.63,8,ABUS 4013W
5.27,5.05,5.32,5.27,5.36,44,ABUS 4023W
5.31,5.00,5.23,5.46,5.33,26,ABUS 4023W
4.95,4.42,5.11,5.32,5.11,38,ABUS 4023W
5.06,4.88,5.35,5.35,5.18,36,ABUS 4023W
4.67,4.17,5.45,5.67,4.67,24,ABUS 4023W
4.95,4.59,5.09,5.13,4.76,46,ABUS 4023W
4.71,4.25,4.82,4.87,4.43,48,ABUS 4023W
5.40,5.00,5.40,5.40,5.20,5,ABUS 4023W
5.13,4.79,5.50,5.53,5.29,32,ABUS 4023W
5.35,5.22,5.59,5.35,5.38,36,ABUS 4023W
5.29,4.57,5.43,5.71,5.50,7,ABUS 4023W
4.88,4.47,5.33,5.56,5.25,16,ABUS 4023W
4.80,3.80,4.80,5.40,4.30,10,ABUS 4023W
5.67,5.50,5.83,6.00,5.83,6,ABUS 4023W
5.43,4.93,5.50,5.79,5.50,14,ABUS 4023W
5.26,4.59,5.07,5.06,4.88,422,ACCT 2050
5.27,4.81,4.77,5.28,4.96,26,ACCT 2050
5.25,4.52,5.06,5.15,4.85,556,ACCT 2050
5.35,4.66,5.13,5.32,5.03,471,ACCT 2050
5.50,4.90,5.36,5.42,5.15,51,ACCT 2050
5.52,4.88,5.31,5.36,5.19,540,ACCT 2050
5.32,4.58,5.18,5.34,4.97,487,ACCT 2050
5.36,4.81,5.22,5.19,4.74,36,ACCT 2050
5.34,4.70,5.17,5.35,5.06,634,ACCT 2050
5.44,4.82,5.34,5.36,5.16,466,ACCT 2050
5.22,4.41,4.97,4.84,4.28,32,ACCT 2050
5.54,4.95,5.40,5.50,5.23,672,ACCT 2050
5.55,5.05,5.40,5.54,5.39,395,ACCT 2050
5.39,4.67,5.06,5.22,4.88,19,ACCT 2050
5.42,4.88,5.32,5.36,5.21,593,ACCT 2050
5.31,4.65,5.10,5.29,5.07,214,ACCT 3001
4.88,4.42,4.38,4.90,4.48,33,ACCT 3001
5.41,4.55,5.23,5.44,5.09,239,ACCT 3001
5.49,4.92,5.36,5.51,5.34,211,ACCT 3001
5.59,4.94,5.53,5.47,5.23,32,ACCT 3001
